topic,difficulty,name,question_body
stacks,medium,Next Greater Element,"Given an array arr[ ] of size N having distinct elements, the task is to find the next greater element for each element of the array in order of their appearance in the array.

Next greater element of an element in the array is the nearest element on the right which is greater than the current element.
If there does not exist next greater of current element, then next greater element for current element is -1. For example, next greater of the last element is always -1.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the list of integers of length N denoting the next greater elements for all the corresponding elements in the input array.

### Example 1:
```txt
Input:
    4
    1 3 2 4
Output:
    3 4 4 -1
Explanation:
    In the array, the next larger element to 1 is 3 , 3 is 4 , 2 is 4 and for 4 ? since it doesn't exist, it is -1.
```

### Example 2:
```txt
Input:
    5
    6 8 0 1 3
Output:
    8 -1 1 3 -1
Explanation:
    In the array, the next larger element to 6 is 8, for 8 there is no larger elements hence it is -1, for 0 it is 1 , for 1 it is 3 and then for 3 there is no larger element on right and hence -1.
```


#### Constraints:
- 1 ≤ N ≤ 1000000
- 1 ≤ Ai ≤ 100000000000
- Expected Time Complexity : O(N)
- Expected Auxilliary Space : O(N)"
stacks,medium,Next Smaller Element,"Given an array arr[ ] of size N having elements, the task is to find the next smaller element for each element of the array in order of their appearance in the array.

Next smaller element of an element in the array is the nearest element on the right which is smaller than the current element.
If there does not exist next smaller of current element, then next smaller element for current element is -1. For example, next smaller of the last element is always -1.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the list of integers of length N denoting the next smaller elements for all the corresponding elements in the input array.

### Example 1:
```txt
Input:
    4
    1 3 2 4
Output:
    -1 2 4 -1
Explanation:
    In the array, the next smaller element to 1 is -1 , 3 is 2 , 2 is 4 and for 4 ? since it doesn't exist, it is -1.
```

### Example 2:
```txt
Input:
    5
    6 8 0 1 3
Output:
    0 0 -1 1 -1
Explanation:
    In the array, the next smaller element to 6 is 0, for 8 is 0, for 0 is -1 as it is the smallest, for 1 it is 1 and then for 3 there is no smaller element on right and hence -1.
```

#### Constraints:
- 1 ≤ N ≤ 1000000
- 1 ≤ Ai ≤ 100000000000
- Expected Time Complexity : O(N)
- Expected Auxilliary Space : O(N)"
queues,easy,First negative integer in every window of size k ,"Given an array A[] of size N and a positive integer K, find the first negative integer for each and every window(contiguous subarray) of size K.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.
The third line contains an integer K.

### Output Format

Print the the first negative number in every window of size K starting from the first till the end. If a window does not contain a negative integer, then return 0 for that window.

### Example 1:
```txt
Input:
    5
    -8, 2, 3, -6, 10
    2
Output:
    -8 0 -6 -6
Explanation:
    First negative integer for each window of size k
    {-8, 2} = -8
    {2, 3} = 0 (does not contain a negative integer)
    {3, -6} = -6
    {-6, 10} = -6
```

### Example 2:
```txt
Input:
    8
    12 -1 -7 8 -15 30 16 28
    3
Output:
    -1 -1 -7 -15 -15 0
```


#### Constraints:
- 1 <= N <= 100000
- 1 <= A[i] <= 100000
- 1 <= K <= N
- Expected Time Complexity: O(N)
- Expected Auxiliary Space: O(K)"
queues,easy,Queue Reversal ,"Given a Queue Q containing N elements. The task is to reverse the N elements of the queue.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the reversed queue of array elements.

### Example 1:
```txt
Input:
    6
    4 3 1 10 2 6
Output:
    6 2 10 1 3 4
Explanation:
    After reversing the given
    elements of the queue , the resultant
    queue will be 6 2 10 1 3 4.
```

### Example 2:
```txt
Input:
    4
    4 3 2 1
Output:
    1 2 3 4
Explanation:
    After reversing the given
    elements of the queue , the resultant
    queue will be 1 2 3 4.
```

#### Constraints:
- 1 ≤ N ≤ 100000
- 1 ≤ elements of Queue ≤ 100000
- Expected Time Complexity : O(n)
- Expected Auxilliary Space : O(n)"
greedy,medium,Container With Most Water,"Given n non-negative integers a1, a2, ..., an , where each represents a point at coordinate (i, ai). n vertical lines are drawn such that the two endpoints of the line i is at (i, ai) and (i, 0). Find two lines, which, together with the x-axis forms a container, such that the container contains the most water.

**Note** : that you may not slant the container.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the max area of the water that can be contained in the container.

### Example 1:

![""1](https://cdn.discordapp.com/attachments/882247424809242705/909760369751379968/unknown.png)
```txt
Input:
    9
    1 8 6 2 5 4 8 3 7
Output:
    49
Explanation:
    The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.
```

### Example 2:
```txt
Input:
    2
    1 1
Output:
    1
```
### Example 3:
```txt
Input:
    5
    4 3 2 1 4
Output:
    16
```
### Example 4:
```txt
Input:
    3
    1 2 1
Output:
    2
```

#### Constraints:
- n == height.length
- 2 <= n <= 100000
- 0 <= height[i] <= 10000"
queues,medium,Circular tour,"Suppose there is a circle. There are  petrol pumps on that circle. Petrol pumps are numbered  to  (both inclusive). You have two pieces of information corresponding to each of the petrol pump: (1) the amount of petrol that particular petrol pump will give, and (2) the distance from that petrol pump to the next petrol pump.

Initially, you have a tank of infinite capacity carrying no petrol. You can start the tour at any of the petrol pumps. Calculate the first point from where the truck will be able to complete the circle. Consider that the truck will stop at each of the petrol pumps. The truck will move one kilometer for each litre of the petrol.

### Input Format

The first line will contain the value of .
The next  lines will contain a pair of integers each, i.e. the amount of petrol that petrol pump will give and the distance between that petrol pump and the next petrol pump.

### Output Format

An integer which will be the smallest index of the petrol pump from which we can start the tour.

### Example 1:
```txt
Input:
    3
    1 5
    10 3
    3 4
Output:
    1
Explanation:
    We can start the tour from the second petrol pump.
```"
queues,medium,Maximum of all subarrays of size k ,"Given an array arr[] of size N and an integer K. Find the maximum for each and every contiguous subarray of size K.

### Input Format

The first line contains 2 integers N and K, N being the length of the original array A and K being the size of the sub-array.
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the list of integers denoting the maximum of every contiguous subarray of size K.

### Example 1:
```txt
Input:
    9 3
    1 2 3 1 4 5 2 3 6
Output:
    3 3 4 5 5 5 6
Explanation:
    1st contiguous subarray = {1 2 3} Max = 3
    2nd contiguous subarray = {2 3 1} Max = 3
    3rd contiguous subarray = {3 1 4} Max = 4
    4th contiguous subarray = {1 4 5} Max = 5
    5th contiguous subarray = {4 5 2} Max = 5
    6th contiguous subarray = {5 2 3} Max = 5
    7th contiguous subarray = {2 3 6} Max = 6
```

### Example 2:
```txt
Input:
    10 4
    8 5 10 7 9 4 15 12 90 13
Output:
    10 10 10 15 15 90 90
Explanation:
    1st contiguous subarray = {8 5 10 7}, Max = 10
    2nd contiguous subarray = {5 10 7 9}, Max = 10
    3rd contiguous subarray = {10 7 9 4}, Max = 10
    4th contiguous subarray = {7 9 4 15}, Max = 15
    5th contiguous subarray = {9 4 15 12}, Max = 15
    6th contiguous subarray = {4 15 12 90}, Max = 90
    7th contiguous subarray = {15 12 90 13}, Max = 90
```



#### Constraints:
- 1 ≤ N ≤ 10000000
- 1 ≤ K ≤ N
- 0 ≤ arr[i] ≤ 10000000
- Expected Time Complexity: O(N)
- Expected Auxiliary Space: O(K)"
binarysearch,easy,Binary Search,"Given an array of integers nums which is sorted in ascending order, and an integer target, write a function to search target in nums. If target exists, then return its index. Otherwise, return -1.

You must write an algorithm with O(log n) runtime complexity.

### Input Format

First line contains N Q, number of elements in the array and the target number.
Second line contains N numbers, elements of the array.

### Output Format

Print the index of the target number if it exists. Otherwise, print -1.

### Example 1

```txt
Input:
    6 9
    -1 0 3 5 9 12
Output:
    4
Explanation:
    Explanation: 9 exists in nums and its index is 4
```

### Example 2

```txt
Input:
    6 2
    -1 0 3 5 9 12
Output:
    -1
Explanation:
    2 does not exist in nums so return -1
```

#### Constraints

- 1 <= nums.length <= 10000
- -10000 < nums[i], target < 10000
- All the integers in nums are unique, nums is sorted in ascending order."
binarysearch,easy,Find first and last positions of an element in a sorted array,"Given a sorted array with possibly duplicate elements, the task is to find indexes of first and last occurrences of an element x in the given array.

### Input Format

The first line should consist of two space separated integers, The size of the array N and X.
The second line consist of N space separated integers.

### Output Format

Output should contain two space separated integers, the index of first and last occurence of element X.

### Example 1

```txt
Input:
    9 5
    1 3 5 5 5 5 67 123 125
Output:
    2 5
```

### Example 2

```txt
Input:
    9 7
   1 3 5 5 5 5 7 123 125
Output:
    6 6
```

#### Constraints

- 1 ≤ N ≤ 107
- Expected Time Complexity: O(logN)
- Expected Auxiliary Space: O(1)."
binarysearch,easy,Rotation Count in Rotated Sorted array,"Given an ascending sorted rotated array Arr of distinct integers of size N. The array is right rotated K times. Find the value of K.

### Input Format

The first line consist of an Integer N, size of the array.
The second line of N space separated integers.

### Output Format

Output should contain a single integer, K.

### Example 1

```txt
Input:
    5
    5 1 2 3 4
Output:
    1
Explanation:
    The given array is 5 1 2 3 4. The original sorted array is 1 2 3 4 5. We can see that the array was rotated 1 times to the right.
```

### Example 2

```txt
Input:
    5
    1 2 3 4 5
Output:
    0
Explanation:
    The given array is not rotated.
```

#### Constraints

- 1 <= N <=105
- 1 <= Arri <= 107
- Expected Time Complexity: O(log(N))
- Expected Auxiliary Space: O(1)"
binarysearch,easy,Find Pair Given Difference,"Given an array Arr[] of size L and a number N, you need to write a program to find if there exists a pair of elements in the array whose difference is N.

### Input Format

The first line of input consist of two space separated integers. L and N.
The second line of input consist of L space separated integers.

### Output Format

Output should consist of a single integer, either 0 or 1. 1 if exists and 0 if doesn't.

### Example 1

```txt
Input:
    6 78
    5 20 3 2 5 80
Output:
    1
Explanation:
    Explanation: (2, 80) have difference of 78.
```

### Example 2

```txt
Input:
    5 45
    90 70 20 80 50
Output:
    0
Explanation:
    There is no pair with difference of 45.
```

#### Constraints

- 1 ≤ L ≤ 104
* 1 ≤ Arr[i], N ≤ 105
* Expected Time Complexity: O(L* Log(L)).
* Expected Auxiliary Space: O(1)."
binarysearch,easy,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2].

Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums.

You must write an algorithm with O(log n) runtime complexity.

### Input Format

The first line should consist of two space separated integers, The size of Array(N) and Integer Target.
The second line should consist of N space separated integers.

### Output Format

The output should consist of a single integer, the index of target if it is in nums, or -1 if it is not in nums.

### Example 1

```txt
Input:
    7 0
    4 5 6 7 0 1 2
Output:
    4
```

### Example 2

```txt
Input:
    7 3
    4 5 6 7 0 1 2
Output:
    -1
```

### Example 3

```txt
Input:
    1 0
    1
Output:
    -1
```

#### Constraints

- 1 <= nums.length <= 5000
- -104 <= nums[i] <= 104
- All values of nums are unique, nums is an ascending array that is possibly rotated.
- -104 <= target <= 104"
binarysearch,medium,Capacity To Ship Packages Within D Days,"Given an array arr[] of N weights. Find the least weight capacity of a boat to ship all weights within D days.

**Note** : You have to load weights on the ship in the given order.

### Input Format

The first line should consist of two space separated integers N and D.
The second line should consist of N space separated integers.

### Output Format

The output should consist a single integer, the least weight capacity of a boat to ship all weights within D days.

### Example 1

```txt
Input:
    3 2
    1 2 1
Output:
    3
Explanation:
    We can ship the weights in 2 days in the following way:-
    Day 1- 1,2
    Day 2- 1
```

### Example 2

```txt
Input:
    3 3
    9 8 10
Output:
    10
Explanation:
    We can ship the weights in 3 days in the following way:-
    Day 1- 9
    Day 2- 8
    Day 3- 10
```

#### Constraints

- 1 ≤ D ≤ N ≤ 105
- 1 ≤ arr[i] ≤ 500
- Expected Time Complexity: O(N\*log(Sum of weights - max(list of weights))
- Expected Auxiliary Space: O(1)"
maths,medium,Reverse Integer,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0.

Assume the environment does not allow you to store 64-bit integers (signed or unsigned).

### Input Format

Input consist of a single line, a signed 32-bit integer x.

### Output Format

Output should consist a single integer. Integer x with it's digits reversed, or 0 if above condition fails.

### Example 1

```txt
Input:
    123
Output:
    321
```

### Example 2

```txt
Input:
    -123
Output:
    -321
```

### Example 3

```txt
Input:
    120
Output:
    21
```

### Example 4

```txt
Input:
    0
Output:
    0
```

#### Constraints

- -10000000000 <= x <= 1000000000"
maths,medium,Minimum Moves to Equal Array Elements,"Given an integer array nums of size n, return the minimum number of moves required to make all array elements equal.

In one move, you can increment n - 1 elements of the array by 1.

### Input Format

The first line of input consist of an integer n.
The second line of input consist n space separated integers.

### Output Format

The output should be of a single line, the minimum number of moves required to make all array elements equal.

### Example 1

```txt
Input:
    3
    1 2 3
Output:
    3
Explanation:
    Only three moves are needed (remember each move increments two elements):
    [1,2,3]  =>  [2,3,3]  =>  [3,4,3]  =>  [4,4,4]
```

### Example 2

```txt
Input:
    3
    1 1 1
Output:
    0
```

#### Constraints

* n == nums.length
* 1 <= nums.length <= 100000
* -1000000000 <= nums[i] <= 1000000000
* The answer is guaranteed to fit in a 32-bit integer."
